,centralities,num_isolates,num_unique_countries,subtypes
0,0.148148148148,20.0,6,H7N6
1,0.212962962963,16.0,3,H10N8
2,0.138888888889,13.0,3,H10N9
3,0.175925925926,32.0,4,H10N1
4,0.277777777778,10.0,2,H10N2
5,0.194444444444,26.0,2,H10N3
6,0.148148148148,24.0,3,H10N4
7,0.175925925926,9.0,4,H10N5
8,0.222222222222,14.0,3,H10N6
9,0.546296296296,292.0,6,H10N7
10,0.037037037037,1.0,1,H2N4
11,0.0925925925926,18.0,5,H2N5
12,0.0185185185185,1.0,1,H2N6
13,0.277777777778,20.0,3,H2N7
14,0.333333333333,26.0,5,H2N1
15,0.240740740741,34.0,5,H2N2
16,0.574074074074,154.0,7,H2N3
17,0.0833333333333,10.0,3,H2N8
18,0.314814814815,28.0,6,H2N9
19,0.0185185185185,1.0,1,H8N8
20,0.0462962962963,6.0,2,H6N4
21,0.407407407407,65.0,6,H8N4
22,0.0185185185185,1.0,1,H8N2
23,0.0277777777778,2.0,2,H8N1
24,0.194444444444,141.0,3,H6N6
25,0.351851851852,51.0,4,Mixed
26,0.037037037037,2.0,1,H9N8
27,0.0555555555556,6.0,1,H5N7
28,0.222222222222,11.0,3,H4N3
29,0.138888888889,8.0,4,H4N1
30,0.740740740741,680.0,11,H4N6
31,0.101851851852,4.0,1,H11N7
32,0.648148148148,259.0,13,H5N2
33,0.166666666667,6.0,3,H3N9
34,0.787037037037,718.0,21,H3N8
35,0.00925925925926,1.0,1,H12N9
36,0.0277777777778,1.0,1,H4N4
37,0.212962962963,34.0,4,H3N1
38,0.212962962963,12.0,3,H3N3
39,0.472222222222,4350.0,40,H3N2
40,0.166666666667,9.0,3,H3N5
41,0.037037037037,8.0,2,H3N7
42,0.398148148148,90.0,10,H3N6
43,0.416666666667,99.0,6,H4N8
44,0.138888888889,20.0,4,H4N9
45,0.185185185185,7.0,3,H5N9
46,0.0740740740741,43.0,4,H5N8
47,0.435185185185,67.0,8,H4N2
48,0.037037037037,3.0,2,H5N6
49,0.111111111111,36.0,2,H5N5
50,0.0185185185185,2.0,1,H5N4
51,0.324074074074,35.0,9,H5N3
52,0.111111111111,4.0,2,H4N7
53,0.296296296296,794.0,32,H5N1
54,0.0555555555556,5.0,3,H4N5
55,0.490740740741,117.0,8,H6N8
56,0.111111111111,5.0,3,H6N9
57,0.185185185185,84.0,4,H7N9
58,0.203703703704,8.0,3,H7N8
59,0.0740740740741,2.0,1,H7N5
60,0.435185185185,189.0,8,H6N1
61,0.537037037037,300.0,13,H6N2
62,0.12962962963,13.0,2,H6N3
63,0.342592592593,46.0,8,H7N1
64,0.314814814815,29.0,8,H6N5
65,0.527777777778,223.0,8,H7N3
66,0.185185185185,180.0,6,H7N2
67,0.0277777777778,1.0,1,H12N6
68,0.138888888889,4.0,2,H12N7
69,0.12037037037,13.0,3,H7N4
70,0.37962962963,83.0,7,H7N7
71,0.185185185185,34.0,2,H1N9
72,0.0925925925926,10.0,1,H1N8
73,0.203703703704,26.0,3,H1N3
74,0.287037037037,448.0,14,H1N2
75,0.611111111111,5607.0,59,H1N1
76,0.0185185185185,7.0,1,H1N7
77,0.0648148148148,4.0,2,H1N6
78,0.0555555555556,2.0,2,H1N5
79,0.0555555555556,4.0,2,H1N4
80,0.0185185185185,2.0,1,H9N3
81,0.555555555556,358.0,19,H9N2
82,0.203703703704,9.0,3,H9N1
83,0.12962962963,4.0,1,H9N7
84,0.0462962962963,2.0,1,H9N6
85,0.12037037037,10.0,1,H9N5
86,0.0740740740741,9.0,2,H9N9
87,0.101851851852,4.0,1,H6N7
88,0.138888888889,4.0,3,H12N8
89,0.0462962962963,5.0,2,H11N6
90,0.148148148148,23.0,2,H11N1
91,0.268518518519,15.0,3,H11N3
92,0.342592592593,66.0,7,H11N2
93,0.0185185185185,1.0,1,H12N2
94,0.0925925925926,2.0,1,H12N3
95,0.0185185185185,1.0,1,H12N1
96,0.666666666667,223.0,8,H11N9
97,0.212962962963,11.0,2,H11N8
98,0.0740740740741,5.0,1,H12N4
99,0.472222222222,68.0,3,H12N5
100,0.0925925925926,25.0,7,H16N3
101,0.0185185185185,1.0,1,H15N9
102,0.0277777777778,2.0,2,H14N6
103,0.0185185185185,1.0,1,H15N4
104,0.0555555555556,2.0,1,H14N2
105,0.0833333333333,14.0,5,H13N6
106,0.0648148148148,3.0,2,H13N2
107,0.0740740740741,5.0,1,H13N9
108,0.101851851852,10.0,3,H13N8
